generation,gain_enemy_2,gain_enemy_6,gain_enemy_7,gain_enemy_8,kill_enemy_2,kill_enemy_6,kill_enemy_7,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.11801330959418446,0.04725794493245532,0.05792337018662592,0.14502893924701993
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.060698079590697424,0.0896275726520776,0.3,0.02908101557480865
1,-100.0,-100.0,-95.0,-100.0,0.0,0.0,0.0,0.0,0.010487869909714051,0.058323930109285715,0.22077320952191207,0.034063039995547745
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.15650096694031368,0.1729236209764576,0.08880350371364064,0.00811415119292992
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.3,0.09155296569912812,0.19237131625323775,0.1525035207400175
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.13405899221961937,0.25108968409925386,0.18421290685936773,0.05650985018880671
1,-75.0,-95.0,-97.5,-80.0,0.0,0.0,0.0,0.0,0.3,0.16014362448059605,0.2510864386791595,0.18616792693699352
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.297766911725728,0.1973175109378083,0.22643571078110294,0.22903289024504572
1,-23.5,-92.5,-30.0,-90.0,0.25,0.0,0.0,0.0,0.24254936229100563,0.15044509808552844,0.14546158985562843,0.2333384293642033
1,49.5,-80.0,-15.799999999999876,25.75000000000025,1.0,0.0,0.5,1.0,0.004850861377780318,0.04417826121523594,0.0032657560428329614,0.13877680861039007
1,-100.0,-100.0,-92.5,-100.0,0.0,0.0,0.0,0.0,0.1925466045832606,0.003945702588466478,0.15913545128453457,0.23529425672946574
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.29102554089556115,0.11280368153807943,0.2065353030825207,0.1325881165583727
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.14039714138279719,0.1979332597852166,0.13369249537140482,0.001
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.1526828665627232,0.132973909969297,0.14280018311025358,0.13701938335292219
1,15.5,-95.0,-57.5,25.60000000000025,0.5,0.0,0.0,1.0,0.25975419008971845,0.13100988680548972,0.2575651217552004,0.026180741085637553
1,-87.5,-100.0,-72.5,-92.5,0.0,0.0,0.0,0.0,0.0576524523668453,0.05962993666722519,0.25704357244281995,0.1647990493743132
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.05368335277321435,0.00681105325838462,0.21231533761028235,0.1094740675171446
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.2936867725501018,0.19245166548320225,0.10901349884244006,0.3
1,74.0,-92.5,-30.0,-90.0,1.0,0.0,0.0,0.0,0.03565902797428251,0.027248894381673494,0.08032019315302893,0.13106918409005255
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.001,0.18729267272827127,0.09923697398164817,0.15062917328055248
