generation,gain_enemy_2,gain_enemy_6,kill_enemy_2,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
1,-100.0,-100.0,0.0,0.0,0.26499807822689925,0.04471870955200739,0.08400684802429419,0.17863045144879114
1,-69.0,-82.5,0.25,0.0,0.20732967219154055,0.2544529738261482,0.06366527976867034,0.03968815240833455
1,-100.0,-100.0,0.0,0.0,0.171769414340264,0.23140800043707896,0.19142055702322106,0.2250868612360189
1,-100.0,-100.0,0.0,0.0,0.25968018303310614,0.19355707489225749,0.1706132276217372,0.23024238143739525
1,-100.0,-100.0,0.0,0.0,0.2327287883451439,0.20686177491330374,0.05040714429486299,0.02034266238266365
1,6.0,-95.0,0.5,0.0,0.14692530150212946,0.17082459880643713,0.28986419174503064,0.02428541414496058
1,-100.0,-100.0,0.0,0.0,0.08533672204235979,0.09636466454601351,0.11963703948570512,0.1919058745003826
1,-100.0,-100.0,0.0,0.0,0.2874558553578917,0.0724319140066231,0.13054859149525733,0.09120688739416212
1,-100.0,-100.0,0.0,0.0,0.19587118353422894,0.3,0.1840698165937099,0.031004147064609695
1,-100.0,-100.0,0.0,0.0,0.11781912413878445,0.06041695731651964,0.07284257607734994,0.1340538533862998
1,-100.0,-100.0,0.0,0.0,0.03954665708951605,0.15995971337170561,0.08229146472634938,0.08594886232490113
1,-100.0,-100.0,0.0,0.0,0.22938638377027507,0.09801526320947579,0.10884353671806396,0.22028866090958346
1,-60.0,-92.5,0.0,0.0,0.0426821348622333,0.19716123894351634,0.10970878011591258,0.07623555238299351
1,-85.0,-100.0,0.0,0.0,0.10098083093547441,0.06320440841102908,0.05242229254065801,0.0453549655577324
1,-100.0,-100.0,0.0,0.0,0.1388939534163684,0.12418924601073117,0.03253328395092427,0.05112339169212076
1,-100.0,-100.0,0.0,0.0,0.23282570334330105,0.04700674759362585,0.18071859637581,0.04900043957678216
1,-100.0,-100.0,0.0,0.0,0.05302965619518148,0.027768873314079998,0.11980420483698342,0.19608475914711432
1,69.0,-52.5,1.0,0.0,0.1343319190272016,0.19633916690707362,0.06974954762083117,0.2026761211432298
1,-100.0,-100.0,0.0,0.0,0.13305985268998397,0.09175639283168194,0.18896007781433014,0.17850130360138985
1,-100.0,-100.0,0.0,0.0,0.11713201779294105,0.18809798068007424,0.11050217304529597,0.03179911432994974
1,-100.0,-100.0,0.0,0.0,0.2047059280012177,0.07204280787193727,0.21914880783059043,0.09758273008133515
1,-45.0,-95.0,0.0,0.0,0.13099511599726316,0.010127153291468141,0.020241237147555637,0.10225599531557827
1,-47.5,-100.0,0.0,0.0,0.04440775768003964,0.26165754787526757,0.16588793934304547,0.033252758625882076
1,-100.0,-100.0,0.0,0.0,0.0016871089166172676,0.18516146559407554,0.08967558141257624,0.18613264801130136
1,-100.0,-100.0,0.0,0.0,0.14947570137790492,0.22936936213101228,0.014196725446277054,0.14185978958613366
1,-100.0,-100.0,0.0,0.0,0.18062005689679814,0.06442133678010474,0.10204065152639329,0.17142926248505755
1,-100.0,-100.0,0.0,0.0,0.2564646733608034,0.1284584010729406,0.02903158473654155,0.04975243054912692
1,-100.0,-100.0,0.0,0.0,0.18007334451205317,0.0376340318870755,0.016281212713017055,0.058476817937764256
1,-37.5,-90.0,0.0,0.0,0.15271091047796348,0.0644840641126495,0.2631311683304484,0.3
1,15.5,-95.0,0.5,0.0,0.2866436334748883,0.12010185830775902,0.020005432014435394,0.004336272157554433
1,-100.0,-100.0,0.0,0.0,0.23046937933800013,0.17776344156993007,0.054720581395267906,0.037729046330155495
1,-65.0,-95.0,0.0,0.0,0.2592908330327819,0.14052316836634787,0.1420528161445181,0.2529964782744449
1,-90.0,-100.0,0.0,0.0,0.006216709201122219,0.14185972427595836,0.2001274180080406,0.14265184881853873
1,25.5,-67.5,0.75,0.0,0.2950159524505702,0.04773225485601997,0.047713979193712446,0.3
1,74.0,-92.5,1.0,0.0,0.17182517409354348,0.3,0.06010822879636679,0.08373278854169203
1,-100.0,-100.0,0.0,0.0,0.14894786601705048,0.20831276186170503,0.19900894283731058,0.26414540229411143
1,-40.0,-97.5,0.0,0.0,0.3,0.12667019897900533,0.16558163753306873,0.3
1,-97.5,-100.0,0.0,0.0,0.2320191079429562,0.1426579271550612,0.2913284412768721,0.0547586863716411
1,-65.0,-92.5,0.0,0.0,0.10205837731358135,0.10966211212914428,0.16852413768554272,0.10759860869330791
1,-100.0,-100.0,0.0,0.0,0.2755829197856548,0.10781415445390713,0.12572899888267688,0.14965380081761118
1,15.5,-95.0,0.5,0.0,0.029644393926832407,0.1453066077376704,0.03837429492865659,0.3
1,-100.0,-100.0,0.0,0.0,0.031943521025890646,0.06783431481850109,0.2437521057772852,0.2512982067560018
1,-100.0,-100.0,0.0,0.0,0.15529451749012568,0.24429915129302246,0.13015936516175775,0.26672113543670606
1,-100.0,-100.0,0.0,0.0,0.19010648961581908,0.17216341109558017,0.13735663198742135,0.2208431288565061
1,15.5,-95.0,0.5,0.0,0.27786579698786634,0.19399306541985933,0.19259462032727756,0.2735500725389589
1,-100.0,-100.0,0.0,0.0,0.12106788922231952,0.18567723046085366,0.06359538839773327,0.004847379675208454
1,-100.0,-100.0,0.0,0.0,0.3,0.05908677156064214,0.24103791933138602,0.00939984488990976
1,15.5,-95.0,0.5,0.0,0.22241199071325782,0.025938032208370623,0.08348734243162688,0.10675404142997813
1,-100.0,-100.0,0.0,0.0,0.05042302842830337,0.3,0.14459751099798854,0.20078030541370312
1,-60.0,-95.0,0.0,0.0,0.18705056417998192,0.13205887694717197,0.25845634570609544,0.1667352491005549
1,-100.0,-100.0,0.0,0.0,0.06456029479925676,0.007403582771167799,0.12791669216769883,0.1076104831713237
1,-100.0,-100.0,0.0,0.0,0.06833835874556006,0.22272332626149047,0.0039628958065252235,0.10148872128224462
1,15.5,-95.0,0.5,0.0,0.16472424119487422,0.12201379848219453,0.06886607416448579,0.22849204569670134
1,6.0,-95.0,0.5,0.0,0.0703429464307712,0.18274400411738143,0.21793597648068075,0.1408749941270138
1,-92.5,-100.0,0.0,0.0,0.25190141095208246,0.06444357773554926,0.2549593361262296,0.17800349492671527
1,-100.0,-92.5,0.0,0.0,0.16079490357290271,0.2894391414400623,0.040476672042114595,0.3
1,-100.0,-100.0,0.0,0.0,0.1441714584116063,0.13833315055261697,0.12041481012274502,0.01685036284056724
1,-100.0,-100.0,0.0,0.0,0.09912346259351179,0.1774718482874299,0.15243700951560876,0.08900987774217137
1,-100.0,-100.0,0.0,0.0,0.3,0.17505576779429427,0.07827848683015133,0.10359385620955464
1,-100.0,-100.0,0.0,0.0,0.2106855379713319,0.06976145540744419,0.1637046880162356,0.20761534296703218
1,19.0,-82.5,0.75,0.0,0.3,0.010293001681998417,0.06847603995623994,0.20701732865846398
1,-57.5,-100.0,0.0,0.0,0.2979317801807252,0.09149673711445071,0.2540065493308939,0.21315264789102603
1,-100.0,-100.0,0.0,0.0,0.23780764004700697,0.2251013277823473,0.09337565968412576,0.25145999007884545
1,-100.0,-100.0,0.0,0.0,0.25434191252554866,0.17730713183226435,0.23244746622285203,0.28184987761127356
1,-100.0,-100.0,0.0,0.0,0.015042158801280585,0.3,0.237715723465742,0.010226643425801037
1,3.0,-95.0,0.5,0.0,0.1562141514671248,0.1748590641794516,0.3,0.22963664301312084
1,-100.0,-100.0,0.0,0.0,0.030505709957140793,0.20279622669398453,0.22453152874331003,0.0010160540931290784
1,-100.0,-100.0,0.0,0.0,0.12875581263313254,0.17345013542217932,0.010220994020139845,0.19319636364119586
1,-100.0,-100.0,0.0,0.0,0.14859131606393872,0.20060417954679907,0.152135274269629,0.2378865595262426
1,-100.0,-100.0,0.0,0.0,0.09938770978326883,0.3,0.17693636707772195,0.15372668834559014
1,-100.0,-100.0,0.0,0.0,0.17917895436530715,0.1293913749272449,0.10178812279607932,0.3
1,74.0,-92.5,1.0,0.0,0.2712630637274894,0.07243250439440103,0.24873355317293608,0.29652327065079026
